1,StumbleUpon News
2,Accounting,Commerce
3,Acting,Arts/History
4,Activism,Society
5,Continuing Education,Society
6,Pornography,Adult,P
7,Aviation/Aerospace,Sci/Tech
8,African Americans,Society
9,Aging,Health
10,Agriculture,Outdoors
11,AIDS,Health
12,Alcoholic Drinks,Home/Living
13,Anime,Arts/History
14,Subculture,Society
15,Alternative Rock,Music/Movies
16,Alternative News,Media
17,Amateur Radio,Sci/Tech
18,Ambient Music,Music/Movies
19,Anarchism,Society
20,Animals,Outdoors
21,Animation,Media
22,Anthropology,Sci/Tech
23,Antiaging,Sci/Tech
24,Antiques,Home/Living
25,Archaeology,Sci/Tech
26,Architecture,Arts/History
27,Art History,Arts/History
28,Arthritis,Health
29,A.I.,Sci/Tech
30,Crafts,Hobbies
31,Sports(General),Sports
32,Asthma,Health
33,Astrology/Psychics,Society
34,Astronomy,Sci/Tech
35,Atheist/Agnostic,Religion
36,Audio Equipment,Music/Movies
37,Personal Sites,Society
38,Badminton,Sports
39,Ballet,Arts/History
40,Bargains/Coupons,Commerce
41,Baseball,Sports
42,Basketball,Sports
43,Beauty,Health
44,Stumblers,Society
45,Beverages,Home/Living
46,Biology,Sci/Tech
47,Biomechanics,Sci/Tech
48,Biotech,Sci/Tech
49,Bird Watching,Outdoors
50,Bisexual Culture,Adult,A
51,Health/Fitness,Health
52,Blues music,Music/Movies
53,Board Games,Hobbies
54,Boating,Outdoors
55,Bodybuilding,Health
56,Botany,Sci/Tech
57,Boxing,Sports
58,UK,Regional
59,Britpop,Music/Movies
60,Buddhism,Religion
61,Business,Commerce
62,Cartoons,Media
63,C.A.D.,Computers
64,Camping,Outdoors
65,Cancer,Health
66,Canoeing/Kayaking,Outdoors
67,Car Parts,Hobbies
68,Cars,Hobbies
69,Vintage Cars,Hobbies
70,Catholic,Religion
71,Cats,Home/Living
72,Celebrities,Society
73,Celtic Music,Music/Movies
74,Chaos/Complexity,Sci/Tech
75,Cheerleading,Sports
76,Chemical Eng.,Sci/Tech
77,Chemistry,Sci/Tech
78,Chess,Hobbies
79,Children's Books,Media
80,Christianity,Religion
81,Cigars,Hobbies
82,Civil Engineering,Sci/Tech
83,Classical Music,Music/Movies
84,Classical Studies,Arts/History
85,Climbing,Outdoors
86,Clothing,Commerce
87,Cognitive Science,Sci/Tech
88,Collecting,Hobbies
89,Comic Books,Media
90,Communism,Society
91,Computer Science,Sci/Tech
92,Software,Computers
93,Computers,Computers
94,Computer Hardware,Computers
95,Multimedia,Computers
96,Programming,Computers
97,Web Development,Computers
98,Conspiracies,Society
99,Construction,Commerce
100,Computer Graphics,Computers
101,Consumer Info,Commerce
102,Food/Cooking,Home/Living
103,Christian Music,Music/Movies
104,Classic Rock,Music/Movies
105,Counterculture,Society
106,Country music,Music/Movies
107,Cricket,Sports
108,Crime,Society
109,Shopping,Society
110,Culture/Ethnicity,Society
111,Cyberculture,Computers
112,Bicycling,Sports
113,Dancing,Arts/History
114,Dance Music,Music/Movies
115,Dating Tips,Society
116,Daytrading,Commerce
117,Online Games,Computers
118,Dentistry,Health
119,Desktop Publishing,Arts/History
120,Diabetes,Health
121,Quizzes,Hobbies
122,Disco,Music/Movies
123,Divorce,Home/Living
124,DJ's/Mixing,Music/Movies
125,Doctors/Surgeons,Health
126,IT,Computers
127,Dogs,Home/Living
128,Dolls/Puppets,Hobbies
129,Drawing,Arts/History
130,Tea,Home/Living
131,Drugs,Society
132,Drum'n'Bass,Music/Movies
133,Firefox,Computers
134,Liberal Politics,Society
135,Eastern Studies,Arts/History
136,Ecology,Sci/Tech
137,Economics,Sci/Tech
138,Electrical Eng.,Sci/Tech
139,Electronica/IDM,Music/Movies
140,Electronic Devices,Commerce
141,Embedded Systems,Computers
142,Encryption,Computers
143,Entertaining,Home/Living
144,Entrepreneurship,Commerce
145,Electronic Parts,Sci/Tech
146,Environment,Sci/Tech
147,Equestrian/Horses,Sports
148,Conservative Politics,Society
149,Webhosting,Computers
150,Ethics,Arts/History
151,Evolution,Sci/Tech
152,Exotic Pets,Home/Living
153,Cell Phones,Commerce
154,Extreme Sports,Sports
155,Family,Home/Living
156,Fantasy Books,Media
157,Fashion,Arts/History
158,Feminism,Society
159,Fetish Sexuality,Adult,P
160,Figure Skating,Sports
161,Filmmaking,Music/Movies
162,Film Noir,Music/Movies
163,Classic Films,Music/Movies
164,Cult Films,Music/Movies
165,Financial planning,Commerce
166,Fine Arts,Arts/History
167,Fish,Home/Living
168,Fishing,Outdoors
169,Folk music,Music/Movies
170,American Football,Sports
171,Foreign Films,Music/Movies
172,Forensics,Health
173,Lesbian Culture,Adult,A
174,Funk,Music/Movies
175,Futurism,Sci/Tech
176,Gambling,Hobbies
177,Roleplaying Games,Hobbies
178,Gardening,Home/Living
179,Gay Culture,Adult,A
180,Genealogy,Home/Living
181,Genetics,Sci/Tech
182,Geography,Sci/Tech
183,Golf,Sports
184,Gospel music,Music/Movies
185,Goth Culture,Society
186,Government,Society
187,Graphic Design,Arts/History
188,Guitar,Music/Movies
189,Guns,Hobbies
190,Hacking,Computers
191,Disabilities,Health
192,Alternative Health,Health
193,Hentai Anime,Adult,P
194,Heart Conditions,Health
195,Heavy metal,Music/Movies
196,Hedonism,Society
197,Hiking,Outdoors
198,HipHop/Rap,Music/Movies
199,History,Arts/History
200,Hockey,Sports
201,Home Improvement,Home/Living
202,Homemaking,Home/Living
203,House music,Music/Movies
204,Oceania,Regional
205,Humanitarianism,Society
